nama_wilayah,tipe_wilayah,kode_wilayah,tahun,dbh_pajak,dbh_sda,dbh_lainnya,dau_block_grant,dau_earmark,dak_fisik,dak_nonfisik,hibah,did_reguler,dana_desa
Kota Binjai,Kota,31744116140,2017,26515791684,1200858436,0,564377582000,0,36568136530,65079039273,0,0,0
Kota Binjai,Kota,31744116140,2018,16365562634,3694879965,0,564377582000,0,50030437778,79905698561,0,17500000000,0
Kota Binjai,Kota,31744116140,2019,13649012921,3653384508,0,587336929000,0,49574247023,74764034720,0,0,0
Kota Binjai,Kota,31744116140,2020,17897352987,3230114759,0,535778557000,0,33112020396,76200130000,0,40871654000,0
Kota Binjai,Kota,31744116140,2021,26814091177,7690393259,0,532627031000,0,51946493166,82386573000,0,0,0
Kota Binjai,Kota,31744116140,2022,22588893737,12108496079,0,532627031000,0,38295442868,111786587955,0,9792420000,0
Kota Binjai,Kota,31744116140,2023,16559315000,3600159000,7913265000,468683912000,82107638304,32867999580,122903084289,0,0,0
Kota Binjai,Kota,31744116140,2024,14832001000,4282004000,6990113000,504620707000,78857515479,30333114358,119594608783,0,20872182000,0
Kota Medan,Kota,31744116140,2014,155026127185,1684742067,0,1393504580000,0,55582193000,0,0,0,0
Kota Medan,Kota,31744116140,2015,121894086150,1679015213,0,1232071365000,0,0,0,0,22289498000,0
Kota Medan,Kota,31744116140,2016,235795953622,1793567528,0,1611940995000,0,49220578000,310875743000,0,41291769000,0
Kota Medan,Kota,31744116140,2017,233213551713,1216124566,0,1583624375000,0,145137418264,194686486859,0,0,0
Kota Medan,Kota,31744116140,2018,212962443115,3804802631,0,1583624375000,0,55188922801,301599881399,0,0,0
Kota Medan,Kota,31744116140,2019,146275081004,3656533915,0,1690606936000,0,87877973409,285552446165,0,0,0
Kota Medan,Kota,31744116140,2020,214661707872,3184635410,0,1493919764000,0,47066941112,285126916355,0,8538533000,0
Kota Medan,Kota,31744116140,2021,269580176346,7700087918,0,1526073171000,0,31060863404,257405501821,0,0,0
Kota Medan,Kota,31744116140,2022,250804101778,10169189097,0,1526073171000,0,33107210141,506496222050,0,11500663000,0
Kota Medan,Kota,31744116140,2023,275112683000,5477850000,2346320000,1395962151000,282718337000,38650129380,539817205889,0,0,0
Kota Medan,Kota,31744116140,2024,206021513000,4171152000,2072601000,1602382293000,324929615517,30396472723,519948710927,1304000000,0,0
Kota Pematang Siantar,Kota,31744116140,2014,26022759643,1684742067,0,519435661000,0,32662570000,0,0,0,0
Kota Pematang Siantar,Kota,31744116140,2015,20373584300,1679015213,0,536792310000,0,50467450000,0,0,0,0
Kota Pematang Siantar,Kota,31744116140,2016,50623372096,1793567528,0,593532667000,0,62708340713,66617429000,0,5000000000,0
Kota Pematang Siantar,Kota,31744116140,2017,27900968790,1205317020,0,583106207000,0,51709487000,67474097437,0,0,0
Kota Pematang Siantar,Kota,31744116140,2018,21637332321,3694879965,0,583106207000,0,107965865226,80400679159,0,0,0
Kota Pematang Siantar,Kota,31744116140,2019,16996208297,3653384508,0,617344615000,0,78686435304,75718835440,0,22438314000,0
Kota Pematang Siantar,Kota,31744116140,2020,25144781754,3203850359,0,565804258000,0,22247115086,81816103266,0,14919829000,0
Kota Pematang Siantar,Kota,31744116140,2021,29985964143,7693740921,0,556772164000,0,35063663756,70763210140,0,0,0
Kota Pematang Siantar,Kota,31744116140,2022,29432886566,12127703892,0,556772164000,0,14731433221,99672478336,0,10436540000,0
Kota Pematang Siantar,Kota,31744116140,2023,25843606000,3505708000,2783103000,460111151000,116148039000,15752927984,116334625883,894000000,0,0
Kota Pematang Siantar,Kota,31744116140,2024,20068237000,3210863000,2458429000,518975582000,87711348609,17273019319,111479341037,0,6737985000,0
Kota Sibolga,Kota,31744116140,2014,15227580297,1684742067,0,371812825000,0,33880280000,0,0,0,0
Kota Sibolga,Kota,31744116140,2015,12597296400,1679015213,0,380075078000,0,90670040000,0,0,0,0
Kota Sibolga,Kota,31744116140,2016,14245849796,1793567528,0,412805887000,0,73266505000,27308574000,0,5000000000,0
Kota Sibolga,Kota,31744116140,2017,15682493636,1205317020,0,405554215000,0,80902246000,20299577480,0,0,0
Kota Sibolga,Kota,31744116140,2018,12723984558,3694879965,0,405554215000,0,60606641156,30328487222,0,0,0
Kota Sibolga,Kota,31744116140,2019,9431330821,3653384508,0,425753360000,0,39300344217,29465189300,0,0,0
Kota Sibolga,Kota,31744116140,2020,13320463851,3203850359,0,391676849000,0,30554243218,25773122000,0,42995348000,0
Kota Sibolga,Kota,31744116140,2021,16877349779,7689388959,0,384535437000,0,33815853302,29626746600,0,9173013000,0
Kota Sibolga,Kota,31744116140,2022,15745424652,12108496079,0,384535437000,0,31710074701,52139759434,0,18430524000,0
Kota Sibolga,Kota,31744116140,2023,12699397000,3487100000,2409835000,339374560000,60102737000,14878158026,48502291838,0,9631189000,0
Kota Sibolga,Kota,31744116140,2024,10372378000,3273879000,2128706000,356476320000,60387316472,39617484382,48660363562,0,6873527000,0
Kota Tanjung Balai,Kota,31744116140,2014,11922480769,1684742067,0,387259055000,0,25520490000,0,0,0,0
Kota Tanjung Balai,Kota,31744116140,2015,10798173450,1679015213,0,398405838000,0,29526528000,0,0,0,0
Kota Tanjung Balai,Kota,31744116140,2016,12768595559,1793567528,0,418170504000,0,72299354553,43457096464,0,0,0
Kota Tanjung Balai,Kota,31744116140,2017,14482506019,1205317020,0,415172063000,0,52402039976,30664006626,0,0,0
Kota Tanjung Balai,Kota,31744116140,2018,11621200318,3694879965,0,418666416000,0,46995399491,43849206679,0,0,0
Kota Tanjung Balai,Kota,31744116140,2019,15368632862,3653384508,0,451056356000,0,48020613578,37426869360,0,0,0
Kota Tanjung Balai,Kota,31744116140,2020,11210159477,3203850359,0,410581497000,0,28241021950,36940763000,0,13415171000,0
Kota Tanjung Balai,Kota,31744116140,2021,16101773797,7689388959,0,403249168000,0,35246705967,41199516000,0,0,0
Kota Tanjung Balai,Kota,31744116140,2022,15123933344,12108496079,0,403249168000,0,27008409848,55892856041,0,2014604000,0
Kota Tanjung Balai,Kota,31744116140,2023,11890873000,3473722000,3149528000,301210628000,117005107000,30804146082,62788753620,0,0,0
Kota Tanjung Balai,Kota,31744116140,2024,9655220000,3191877000,2782108000,334422745000,85911715000,34863740727,60747810441,0,0,0
Kota Tebing Tinggi,Kota,31744116140,2014,13926388131,1684742067,0,385030433000,0,36231720000,0,0,0,0
Kota Tebing Tinggi,Kota,31744116140,2015,12216465600,1679015213,0,400236724000,0,48429780000,0,0,0,0
Kota Tebing Tinggi,Kota,31744116140,2016,15585300775,1793567528,0,413508880000,0,84826627989,40732315834,0,0,0
Kota Tebing Tinggi,Kota,31744116140,2017,17064884343,1205317020,0,408720596000,0,95473452472,48133643760,0,0,0
Kota Tebing Tinggi,Kota,31744116140,2018,12938986267,3694879965,0,409399195000,0,63825447895,51043410269,0,0,0
Kota Tebing Tinggi,Kota,31744116140,2019,9296637687,3653384508,0,435195368000,0,55008198072,48447121800,0,0,0
Kota Tebing Tinggi,Kota,31744116140,2020,12422270228,3203850359,0,393452394000,0,51383923690,47317097000,0,6845138000,0
Kota Tebing Tinggi,Kota,31744116140,2021,16984375331,7689388959,0,386845565000,0,46100887327,45019240460,0,42967913000,0
Kota Tebing Tinggi,Kota,31744116140,2022,16034383981,12108496079,0,386845565000,0,32851803167,64886220240,0,9617444000,0
Kota Tebing Tinggi,Kota,31744116140,2023,13036877000,3545146000,2772208000,321460100000,82795645323,22791104136,76744944526,0,11456003000,0
Kota Tebing Tinggi,Kota,31744116140,2024,10140277000,3251423000,2448805000,359877976000,66425066397,19985128958,71301108853,0,0,0
Kota Padang Sidempuan,Kota,31744116140,2014,18340657390,2806258774,0,470353368000,0,38329260000,0,0,0,0
Kota Padang Sidempuan,Kota,31744116140,2015,15646223750,4249660166,0,481834636000,0,46804080000,0,0,0,12256060000
Kota Padang Sidempuan,Kota,31744116140,2016,59719382982,2407389128,0,507686451000,0,63490230000,74594745110,0,0,26926444690
Kota Padang Sidempuan,Kota,31744116140,2017,20764746232,1867478562,0,498768033000,0,86465377345,70064975814,0,0,34650201000
Kota Padang Sidempuan,Kota,31744116140,2018,14443492351,4082749967,0,498768033000,0,51578238121,73105070953,0,0,33662556000
Kota Padang Sidempuan,Kota,31744116140,2019,10731447325,4158330373,0,525198898000,0,90932171136,68101466610,0,0,39678754000
Kota Padang Sidempuan,Kota,31744116140,2020,15656660013,3518527374,0,476335400000,0,41553433756,69687096000,0,0,40865674000
Kota Padang Sidempuan,Kota,31744116140,2021,19919051992,8761535259,0,468092452000,0,56262768584,71044560900,0,0,41800048000
Kota Padang Sidempuan,Kota,31744116140,2022,17890934669,12108496079,0,468092452000,0,21617361641,90220085342,0,17113672000,30782227000
Kota Padang Sidempuan,Kota,31744116140,2023,14111871000,9003189000,7825982000,389919439000,97823373000,29946821196,100612170875,0,5934839000,32910291000
Kota Padang Sidempuan,Kota,31744116140,2024,12152585000,7966232000,6913012000,412023264000,100235554554,43128045094,94450740869,0,0,33396536000
Kota GunungSitoli,Kota,31744116140,2014,9813097822,1684742067,0,383524614000,0,32231500000,0,0,0,0
Kota GunungSitoli,Kota,31744116140,2015,8879949600,1679015213,0,397362423000,0,83927720000,0,0,0,27854226000
Kota GunungSitoli,Kota,31744116140,2016,40753791156,1793567528,0,434259520000,0,135054629796,30032512000,0,0,32582079863
Kota GunungSitoli,Kota,31744116140,2017,12855983880,1205317020,0,426630977000,0,62427013281,46324807530,0,0,79477604324
Kota GunungSitoli,Kota,31744116140,2018,11679743250,3694879965,0,426758929000,0,50838832692,59067393394,0,0,76000480809
Kota GunungSitoli,Kota,31744116140,2019,9888469360,3653384508,0,447379682000,0,49695260315,50576852330,0,0,84966883000
Kota GunungSitoli,Kota,31744116140,2020,12398876961,3203850359,0,406222095000,0,52356917569,55711886999,0,14065588000,89138776600
Kota GunungSitoli,Kota,31744116140,2021,16901339419,7689388959,0,399419428000,0,60624861220,51446838560,0,8511835000,88517876190
Kota GunungSitoli,Kota,31744116140,2022,15241323387,12108496079,0,399419428000,0,40468089118,69149725845,0,34711889000,80322298839
Kota GunungSitoli,Kota,31744116140,2023,11299992000,3578848000,3133333000,307259051000,109688470000,63956240394,81076900467,0,25589523000,85859661318
Kota GunungSitoli,Kota,31744116140,2024,10499760750,3427658000,2767802000,329613442000,113891940000,38994929687,81059171322,0,18183837000,85506324000
Kab. Lima Puluh Kota,Kota,31744116140,2014,18388446032,2292358480,0,700183206000,0,59929540000,0,0,0,0
Kab. Lima Puluh Kota,Kota,31744116140,2015,16637330050,2044549612,0,725615816000,0,80257430000,0,0,0,23740813000
Kab. Lima Puluh Kota,Kota,31744116140,2016,17534076198,950471036,0,760431504000,0,103046302436,126958849160,0,0,53280090000
Kab. Lima Puluh Kota,Kota,31744116140,2017,19325908087,1411094399,0,747073168000,0,78324971101,147877173989,0,50374120000,67871118000
Kab. Lima Puluh Kota,Kota,31744116140,2018,12907389620,1576591052,0,747073168000,0,75096769228,160964303145,0,26750000000,64726913998
Kab. Lima Puluh Kota,Kota,31744116140,2019,11060896329,2138305240,0,769112424000,0,82797025030,158924988255,0,45357649000,75446605000
Kab. Lima Puluh Kota,Kota,31744116140,2020,13360698775,1814271538,0,696866984000,0,82069351610,161280313100,0,250000000,77575698000
Kab. Lima Puluh Kota,Kota,31744116140,2021,16596185226,3544403531,0,686668871000,0,72258497494,173216944000,0,30442552000,81722352000
Kab. Lima Puluh Kota,Kota,31744116140,2022,14962729136,5246005408,0,686668871000,0,98518292418,188476439308,0,0,74850449000
Kab. Lima Puluh Kota,Kota,31744116140,2023,7567728000,21805929000,6859359000,504849583000,215383674000,38742529210,220253273745,3080099400,5827164000,83887365000
Kab. Lima Puluh Kota,Kota,31744116140,2024,6613906000,14514810000,6059154000,625809097000,148983381348,43139289223,209937722674,0,7123654000,84689970000
Kota Bukit Tinggi,Kota,31744116140,2014,13168655816,2114997363,0,404285567000,0,33148850000,0,0,0,0
Kota Bukit Tinggi,Kota,31744116140,2015,10705611350,1849915709,0,408640651000,0,28676544000,0,0,3000000000,0
Kota Bukit Tinggi,Kota,31744116140,2016,15542602985,773462839,0,458968482000,0,36926029206,36807059500,0,5000000000,0
Kota Bukit Tinggi,Kota,31744116140,2017,15790238592,1315740597,0,450905882000,0,20827196000,28975641135,0,7500000000,0
Kota Bukit Tinggi,Kota,31744116140,2018,11132503472,1457702965,0,450905882000,0,21067905500,38497875839,0,28250000000,0
Kota Bukit Tinggi,Kota,31744116140,2019,8231071892,1824173950,0,465047471000,0,41148696668,40660812600,0,26013224000,0
Kota Bukit Tinggi,Kota,31744116140,2020,13454178209,1948710461,0,429026323000,0,21016688521,40794504000,0,56127080000,0
Kota Bukit Tinggi,Kota,31744116140,2021,16404363662,3294037304,0,421334282000,0,17828812263,45569524000,0,45531556000,0
Kota Bukit Tinggi,Kota,31744116140,2022,16090839383,4852448263,0,421334282000,0,38100592208,60066691296,0,0,0
Kota Bukit Tinggi,Kota,31744116140,2023,11971233000,3294756000,2120919000,363246863000,73077864000,12315114685,66772606283,0,28852373000,0
Kota Bukit Tinggi,Kota,31744116140,2024,7739231710,1892347000,1873495000,412801306000,36716845028,31503797544,65858310591,0,7154115000,0
Kota Padang Panjang,Kota,31744116140,2014,11006151060,2114997363,0,341743153000,0,23879790000,0,0,0,0
Kota Padang Panjang,Kota,31744116140,2015,9197915300,1849915709,0,343008704000,0,27138016000,0,0,0,0
Kota Padang Panjang,Kota,31744116140,2016,10870139840,773462839,0,382149494000,0,48958449000,19671331500,0,0,0
Kota Padang Panjang,Kota,31744116140,2017,11129281319,1315740597,0,375436356000,0,35455816000,17652531050,0,42836368000,0
Kota Padang Panjang,Kota,31744116140,2018,7795715308,1455781978,0,375436356000,0,33184519104,24240328263,0,4000000000,0
Kota Padang Panjang,Kota,31744116140,2019,6534490997,1824173950,0,390319648000,0,32848378130,23876542680,0,17241091000,0
Kota Padang Panjang,Kota,31744116140,2020,8057740471,1948710461,0,352753271000,0,21662282442,29682262768,0,27961238000,0
Kota Padang Panjang,Kota,31744116140,2021,12054127753,3294037304,0,346447747000,0,27839516254,27000812275,0,22015680000,0
Kota Padang Panjang,Kota,31744116140,2022,11186669322,4852448263,0,346447747000,0,21616550919,30738657451,0,12775829000,0
Kota Padang Panjang,Kota,31744116140,2023,5800061040,3294799000,1879689000,285933849000,75405471000,4580717464,36045472969,0,9492819000,0
Kota Padang Panjang,Kota,31744116140,2024,4760672000,1983333000,1660407000,345411126000,30448889308,15722870984,37626533897,0,21772057000,0
Kota Padang,Kota,31744116140,2014,62002534867,2117306085,0,1060917648000,0,57262403000,0,0,0,0
